@RELATION POSIT

@attribute classification {Anti-extremist, Pro-extremist, neutral}
@attribute number_of_exclam numeric
@attribute number_of_dollar numeric
@attribute number_of_ast numeric
@attribute number_of_dot numeric
@attribute number_of_0 numeric
@attribute number_of_1 numeric
@attribute number_of_2 numeric
@attribute number_of_3 numeric
@attribute number_of_4 numeric
@attribute number_of_5 numeric
@attribute number_of_6 numeric
@attribute number_of_7 numeric
@attribute number_of_8 numeric
@attribute number_of_9 numeric
@attribute number_of_quest numeric
@attribute number_of_a numeric
@attribute number_of_b numeric
@attribute number_of_c numeric
@attribute number_of_d numeric
@attribute number_of_e numeric
@attribute number_of_f numeric
@attribute number_of_g numeric
@attribute number_of_h numeric
@attribute number_of_i numeric
@attribute number_of_j numeric
@attribute number_of_k numeric
@attribute number_of_l numeric
@attribute number_of_m numeric
@attribute number_of_n numeric
@attribute number_of_o numeric
@attribute number_of_p numeric
@attribute number_of_q numeric
@attribute number_of_r numeric
@attribute number_of_s numeric
@attribute number_of_t numeric
@attribute number_of_u numeric
@attribute number_of_v numeric
@attribute number_of_w numeric
@attribute number_of_x numeric
@attribute number_of_y numeric
@attribute number_of_z numeric
@attribute total_unique_chars numeric
@attribute total_chars numeric
@attribute specials numeric
@attribute total_words numeric
@attribute total_unique_words numeric
@attribute ttr numeric
@attribute number_of_sentences numeric
@attribute asl numeric
@attribute number_of_chars numeric
@attribute awl numeric
@attribute noun_types numeric
@attribute verb_types numeric
@attribute adjective_types numeric
@attribute preposition_types numeric
@attribute possessive_types numeric
@attribute personal_types numeric
@attribute determiner_types numeric
@attribute adverb_types numeric
@attribute particle_types numeric
@attribute interjection_types numeric
@attribute verbs numeric
@attribute nouns numeric
@attribute preposition numeric
@attribute possessive numeric
@attribute personal numeric
@attribute particles numeric
@attribute interjections numeric
@attribute determiners numeric
@attribute adverbs numeric
@attribute adjectives numeric

@data
Anti-extremist,0,0,116,107,19,31,3,3,15,20,11,17,32,41,28,269,53,113,118,332,71,77,80,270,6,35,140,135,265,281,78,11,251,293,297,130,42,45,1,42,11,6625,39,3,617,439,0.711507,15,41.1333,6617,10.7245,342,16,6,12,1,1,4,2,0,0,36,922,66,2,2,0,0,30,6,12
Anti-extremist,0,0,116,108,19,30,3,3,16,20,11,17,32,40,28,269,53,113,118,332,71,77,80,270,6,35,140,135,265,281,78,11,251,293,297,130,42,45,1,42,11,6625,39,3,617,439,0.711507,15,41.1333,6617,10.7245,342,16,6,12,1,1,4,2,0,0,36,922,66,2,2,0,0,30,6,12
Anti-extremist,0,0,0,0,2,3,0,2,1,0,0,7,0,0,0,11,2,8,6,24,3,4,5,14,0,3,6,4,13,17,3,1,19,12,16,9,0,3,0,7,0,254,27,1,41,37,0.902439,4,10.25,254,6.19512,12,8,0,4,3,3,2,3,0,0,16,24,12,12,12,0,0,4,6,0
Anti-extremist,0,0,20,1,1,8,19,6,9,7,4,6,4,4,6,87,28,44,41,113,19,24,37,74,3,9,44,45,65,105,27,4,81,92,109,29,14,21,1,24,1,1789,39,3,240,184,0.766667,13,18.4615,1788,7.45,116,18,3,6,4,4,6,2,0,0,36,308,30,10,10,0,0,20,6,6
Anti-extremist,0,0,19,1,1,8,19,6,10,8,4,6,4,3,6,87,28,44,41,113,19,24,37,74,3,9,44,45,65,105,27,4,81,92,109,29,14,21,1,24,1,1789,39,3,240,184,0.766667,13,18.4615,1788,7.45,116,18,3,6,4,4,6,2,0,0,36,308,30,10,10,0,0,20,6,6
Anti-extremist,0,0,19,1,1,19,9,5,9,9,4,6,4,3,6,87,28,44,41,113,19,24,37,74,3,9,44,45,65,105,27,4,81,92,109,29,14,21,1,24,1,1789,39,3,240,184,0.766667,13,18.4615,1788,7.45,116,18,3,6,4,4,6,2,0,0,36,308,30,10,10,0,0,20,6,6
Anti-extremist,246,278,17,19,228,83,3,95,103,54,32,79,8,133,93,2388,407,822,876,2444,440,497,878,1922,112,333,1163,798,1926,1810,421,41,1908,1588,1805,794,274,479,90,411,69,33309,41,5,4224,1920,0.454545,127,33.2598,33285,7.87997,477,19,11,17,5,5,5,4,0,0,44,1334,94,10,10,0,0,50,10,22
Anti-extremist,0,0,139,122,37,3,14,20,43,13,21,7,34,41,34,425,86,182,214,586,128,125,167,436,10,51,231,197,418,530,150,22,399,467,496,224,69,82,2,100,12,9885,39,3,1121,632,0.563782,41,27.3415,9876,8.80999,365,64,28,18,8,8,9,13,0,0,200,1058,132,68,68,0,0,88,50,64
Anti-extremist,0,180,145,12,140,16,58,19,29,21,27,59,8,54,48,1683,332,670,662,2519,422,410,915,1653,26,119,1090,656,1529,1788,540,32,1398,1534,2028,806,271,467,22,405,31,31125,40,4,4422,1566,0.354138,125,35.376,31117,7.03686,238,95,42,20,11,11,9,36,3,1,276,688,206,74,74,8,2,154,108,102
Anti-extremist,0,2086,1047,771,272,4,574,466,306,569,129,187,189,9,213,1201,257,600,513,1900,364,374,495,1184,55,169,670,595,1128,1616,692,25,1448,1086,1381,811,161,318,31,293,36,38001,40,4,4293,1270,0.29583,103,41.6796,37992,8.84976,215,94,38,25,11,11,10,30,3,0,268,664,172,140,140,6,0,98,90,94
Anti-extremist,0,2087,1047,770,272,4,574,466,305,569,128,188,190,9,213,1201,257,600,513,1900,364,374,495,1184,55,169,670,595,1128,1616,692,25,1448,1086,1381,811,161,318,31,293,36,38001,40,4,4293,1270,0.29583,103,41.6796,37992,8.84976,215,94,38,25,11,11,10,30,3,0,268,664,172,140,140,6,0,98,90,94
Anti-extremist,0,0,123,121,36,3,3,19,21,47,10,18,33,41,30,410,80,164,182,519,100,116,164,379,14,46,200,195,356,441,129,14,358,429,477,186,54,94,4,72,13,9110,39,3,1015,609,0.6,33,30.7576,9102,8.96749,361,57,19,21,10,10,10,17,1,0,168,1028,126,66,66,2,0,64,58,46
Anti-extremist,0,0,172,161,90,51,39,37,5,20,6,25,41,48,48,462,98,182,246,692,127,123,179,475,24,66,233,240,425,511,182,20,472,479,516,209,68,113,4,95,12,11620,39,3,1305,693,0.531034,26,50.1923,11612,8.89808,296,57,20,14,9,9,6,13,3,0,180,996,94,78,78,8,0,60,50,50
Anti-extremist,0,149,126,54,3,23,23,5,16,57,24,7,43,46,42,608,120,223,233,764,147,154,260,523,34,72,290,231,519,562,166,14,511,532,626,210,82,139,11,107,14,12059,40,4,1413,797,0.564048,32,44.1562,12051,8.52866,311,66,26,25,12,12,11,22,0,2,212,878,182,66,66,0,4,120,88,64
Anti-extremist,0,0,169,176,16,69,42,4,53,23,29,38,57,30,96,723,156,277,356,1036,244,169,348,792,34,79,373,359,733,898,268,23,709,715,987,303,130,166,9,143,16,16833,39,3,2088,904,0.43295,73,28.6027,16825,8.05795,208,83,30,19,14,14,9,28,3,0,234,750,174,88,88,6,0,146,86,70
Anti-extremist,0,0,172,153,63,28,44,29,27,74,64,8,8,72,46,675,145,317,387,973,198,197,287,721,16,60,370,315,680,813,224,17,602,729,830,323,95,228,23,200,25,15684,39,3,1959,893,0.455845,57,34.3684,15676,8.00204,208,85,29,19,8,8,9,29,1,1,256,718,144,70,70,2,2,90,92,68
Anti-extremist,0,0,159,147,12,22,53,20,28,52,24,24,38,44,33,602,132,239,266,786,178,146,280,617,36,64,301,274,546,614,172,16,572,589,686,244,87,150,15,125,17,13830,39,3,1566,769,0.49106,35,44.7429,13822,8.82631,201,64,23,18,15,15,10,18,0,1,182,810,170,90,90,0,2,132,46,78
Anti-extremist,0,0,152,148,56,28,43,5,21,25,65,36,48,9,38,561,119,200,243,737,141,125,228,515,20,52,297,275,466,541,158,17,463,518,567,207,76,117,15,127,13,12095,39,3,1417,693,0.489061,46,30.8043,12084,8.52788,207,61,23,15,15,15,6,21,1,1,234,756,176,160,160,6,2,68,92,88
Anti-extremist,154,11,151,12,62,22,4,38,44,15,23,7,36,48,32,495,85,192,237,659,165,134,192,466,11,60,265,221,432,525,152,13,437,483,540,259,71,114,6,108,21,11213,41,5,1314,710,0.540335,36,36.5,11205,8.5274,295,64,25,17,9,9,8,14,2,0,188,914,134,86,86,4,0,92,50,62
Anti-extremist,0,0,119,113,19,32,3,3,15,18,10,16,32,42,30,346,66,141,165,434,92,99,116,326,8,35,166,169,330,375,100,14,327,353,389,160,50,54,4,69,12,8122,39,3,824,537,0.651699,16,51.5,8114,9.84709,354,32,11,12,8,8,3,5,0,0,80,980,76,38,38,0,0,36,16,22
Anti-extremist,0,140,130,48,3,29,38,25,5,15,21,63,35,42,32,398,72,168,175,506,106,107,161,384,9,43,214,200,354,410,130,13,359,404,473,166,57,73,3,69,14,9200,40,4,1004,622,0.619522,28,35.8571,9192,9.15538,380,40,13,14,8,8,4,10,3,0,114,1072,98,38,38,6,0,46,36,26
Anti-extremist,0,178,1,10,172,12,60,28,37,28,60,30,40,67,41,578,150,199,295,786,185,152,243,543,20,63,300,309,527,697,265,22,558,612,647,270,85,136,3,112,14,14153,40,4,1581,768,0.485769,48,32.9375,14145,8.94687,192,69,30,22,11,11,10,22,5,0,242,798,132,68,68,10,0,118,64,80
Anti-extremist,0,0,240,197,129,16,121,49,63,37,58,23,40,85,43,964,193,352,524,1373,247,253,470,843,30,125,517,438,845,1078,262,23,799,813,1065,416,139,235,26,243,15,20442,39,3,2778,1025,0.36897,126,22.0476,20434,7.35565,183,74,18,22,12,12,8,30,3,0,222,804,134,72,72,6,0,70,110,48
Anti-extremist,0,0,160,129,58,30,4,35,21,55,6,25,39,52,40,542,132,207,267,682,140,125,210,545,41,72,281,224,479,567,151,16,468,525,582,206,96,106,9,124,35,11778,39,3,1366,767,0.561493,35,39.0286,11754,8.60469,294,59,36,15,11,11,7,15,1,0,200,944,166,42,42,2,0,116,46,88
Anti-extremist,0,0,149,122,45,25,3,22,4,23,18,19,38,48,34,361,68,136,196,494,78,97,113,331,10,51,182,171,359,372,116,13,346,353,377,161,64,59,2,54,15,8379,39,3,853,547,0.641266,18,47.3889,8371,9.8136,331,15,9,17,2,2,3,4,0,0,48,960,66,10,10,0,0,20,14,18
Anti-extremist,0,0,434,462,102,31,33,40,4,63,60,57,125,180,96,385,64,138,164,422,90,90,114,361,9,46,179,184,336,394,106,16,358,411,402,183,47,55,2,68,17,11196,39,3,991,573,0.578204,35,28.3143,10906,11.005,280,20,8,9,4,4,5,6,1,0,120,846,60,16,16,8,0,26,24,24
Anti-extremist,0,0,138,152,50,3,53,41,24,5,17,26,39,48,44,368,70,135,182,481,100,98,138,351,9,38,206,177,334,394,111,15,346,383,403,162,55,62,2,72,11,8941,39,3,949,568,0.598525,26,36.5,8933,9.41307,353,28,13,15,6,6,5,8,2,0,90,1032,84,38,38,6,0,42,30,30
Anti-extremist,0,0,181,11,159,28,81,43,55,22,35,69,59,79,41,593,167,233,309,862,181,161,268,619,26,70,397,310,561,711,207,23,566,580,690,274,75,147,14,129,36,14922,39,3,1764,772,0.437642,75,23.52,14914,8.45465,181,62,21,14,10,10,8,28,2,0,244,730,122,110,110,20,0,86,122,72
Anti-extremist,0,0,140,126,40,22,34,4,4,22,10,20,34,49,33,415,83,199,191,524,98,107,183,390,10,57,240,194,379,458,126,13,362,441,442,195,59,76,2,79,11,9512,39,3,1042,626,0.600768,30,34.7333,9504,9.12092,354,48,17,19,14,14,5,10,1,0,132,1030,116,54,54,2,0,58,32,42
Anti-extremist,0,157,156,62,3,33,4,49,5,19,56,27,44,48,42,742,174,313,353,1068,231,180,391,774,13,91,399,314,642,751,232,17,741,700,879,313,114,187,4,149,15,15651,40,4,1951,981,0.502819,48,40.6458,15640,8.0164,268,97,57,19,16,16,10,19,0,0,258,742,154,104,104,0,0,90,50,162
Anti-extremist,0,0,162,107,151,20,70,29,28,44,15,24,41,49,43,1182,230,408,451,1721,276,313,658,1152,41,115,610,515,1176,1182,366,25,889,1081,1361,438,173,442,17,329,17,23356,39,3,3190,1102,0.345455,115,27.7391,23347,7.31881,164,96,38,18,12,12,8,39,3,0,390,540,132,146,146,14,0,74,166,146
Anti-extremist,0,0,167,10,100,151,70,35,35,20,6,23,44,51,40,783,182,286,364,1143,257,213,382,816,23,76,405,351,731,852,231,17,709,756,903,304,108,213,11,168,15,16853,39,3,2126,1021,0.480245,84,25.3095,16845,7.92333,227,90,24,21,17,17,8,21,4,0,262,740,162,118,118,8,0,112,52,62
Anti-extremist,0,0,146,10,136,55,24,27,16,22,67,7,36,44,33,670,151,243,292,962,218,186,345,666,17,66,362,286,608,707,181,16,622,655,763,264,96,161,13,138,13,14065,39,3,1736,938,0.540323,59,29.4237,14057,8.09735,275,85,48,19,12,12,10,25,2,0,238,762,180,84,84,4,0,140,54,116
Anti-extremist,0,0,141,11,130,49,19,27,13,55,20,34,43,9,32,586,135,252,271,871,179,179,284,633,13,60,338,256,551,651,185,17,562,610,676,251,103,150,6,129,12,12956,39,3,1567,880,0.561583,51,30.7255,12948,8.26292,273,92,52,23,11,11,10,26,2,1,240,720,192,98,98,4,2,126,58,124
Anti-extremist,0,0,152,11,137,57,26,29,22,31,66,40,8,47,32,655,149,241,288,937,201,189,318,662,18,73,345,297,593,709,180,16,610,650,743,269,98,153,11,153,12,14006,39,3,1745,929,0.532378,61,28.6066,13998,8.02178,277,81,47,19,12,12,10,24,1,0,232,750,170,76,76,2,0,132,52,112
Anti-extremist,0,170,159,14,15,16,74,29,36,16,28,41,80,65,38,750,201,287,332,948,248,191,317,739,31,79,436,330,656,853,226,23,675,692,833,319,95,164,15,170,13,16542,40,4,2043,868,0.424865,53,38.5472,16534,8.093,192,76,17,12,9,9,8,19,4,0,248,782,130,56,56,32,0,94,76,38
Anti-extremist,0,0,153,136,13,13,58,28,33,17,26,64,45,53,33,671,155,252,301,931,219,203,314,690,25,66,375,299,643,721,197,16,608,666,746,284,96,158,11,146,12,14291,39,3,1786,949,0.531355,67,26.6567,14283,7.9972,271,78,47,20,13,13,10,22,1,0,224,764,170,90,90,2,0,126,48,112
Anti-extremist,0,141,1,131,21,40,23,26,44,5,24,26,36,41,31,415,82,163,184,511,96,103,145,384,10,41,194,197,371,452,135,26,352,422,500,197,54,73,2,87,11,9683,40,4,1056,588,0.556818,37,28.5405,9675,9.16193,349,50,18,17,5,5,4,12,1,0,154,1086,120,50,50,4,0,66,48,46
Anti-extremist,0,0,158,159,14,62,23,4,35,21,25,46,76,56,44,555,135,213,229,641,123,105,136,463,22,48,259,278,394,515,167,32,444,454,461,232,63,73,3,79,27,11744,39,3,1299,701,0.539646,42,30.9286,11701,9.0077,295,36,12,13,5,5,4,5,1,0,118,1116,76,20,20,2,0,48,22,30
Anti-extremist,0,0,149,131,12,53,24,4,33,25,28,69,47,63,61,734,144,261,335,973,227,189,311,703,14,63,421,287,646,748,184,23,631,695,804,303,96,159,10,162,12,14577,39,3,1850,963,0.520541,67,27.6119,14569,7.87514,239,82,54,27,8,8,10,37,1,0,290,646,198,80,80,2,0,158,108,168
Anti-extremist,0,0,154,192,52,29,3,24,4,30,14,25,42,44,44,458,85,168,186,544,108,124,148,437,13,48,246,212,390,447,155,16,369,439,479,177,68,73,6,84,11,10284,39,3,1125,613,0.544889,25,45,10276,9.13422,326,37,16,13,7,7,4,16,0,0,128,1078,90,48,48,0,0,52,62,46
Anti-extremist,0,0,143,195,23,58,44,4,113,5,36,24,46,48,44,385,74,157,174,470,92,92,123,356,11,45,192,197,357,423,120,16,339,397,405,165,48,65,3,90,11,9134,39,3,984,577,0.586382,22,44.7273,9126,9.27439,332,24,15,13,5,5,3,7,0,0,88,1004,86,28,28,0,0,26,24,44
Anti-extremist,0,0,145,120,25,55,28,22,5,18,6,23,36,45,34,433,100,217,203,605,119,147,167,469,11,49,239,208,458,516,137,15,409,485,494,200,76,65,7,115,15,10296,39,3,1144,684,0.597902,23,49.7391,10287,8.99213,416,44,21,16,5,5,7,7,1,0,148,1176,122,18,18,2,0,64,20,64
Anti-extremist,0,0,177,101,159,80,29,37,23,6,22,7,38,54,45,706,162,254,362,1076,236,186,313,747,27,79,396,385,671,795,214,16,633,722,971,329,103,174,9,164,21,16769,39,3,2082,928,0.445725,86,24.2093,16760,8.04995,214,83,39,20,12,12,12,27,0,0,244,750,140,80,80,0,0,158,80,86
Anti-extremist,0,0,120,111,19,31,15,21,5,10,6,17,33,45,29,338,63,145,171,446,82,83,131,332,11,41,175,163,338,365,108,13,319,347,370,158,52,61,2,61,11,8045,39,3,837,534,0.637993,18,46.5,8037,9.60215,342,35,9,16,3,3,6,8,0,1,106,962,80,36,36,0,2,44,26,20
Anti-extremist,0,168,150,19,70,27,4,36,52,25,528,25,36,78,40,581,116,243,274,751,163,125,160,588,15,49,291,276,485,625,195,24,524,524,530,283,82,72,5,93,34,13298,40,4,1469,722,0.491491,36,40.8056,13277,9.03812,233,34,13,11,7,7,6,10,0,0,110,1032,72,50,50,0,0,42,22,54
Anti-extremist,0,151,162,55,264,26,4,40,45,32,6,25,40,63,36,499,109,224,227,657,135,119,142,491,14,47,280,244,398,539,149,19,407,475,508,235,80,61,3,98,22,11684,40,4,1265,673,0.532016,28,45.1786,11668,9.22372,316,32,11,10,4,4,5,7,0,0,90,1132,82,22,22,0,0,58,20,28
Anti-extremist,0,0,151,129,18,48,21,31,47,5,19,22,36,46,31,745,122,223,323,818,158,194,226,617,37,139,352,313,627,621,183,15,628,656,701,227,138,79,4,98,14,13820,39,3,1705,922,0.540762,55,31,13703,8.03695,296,84,38,21,11,11,7,6,5,0,222,974,90,38,38,10,0,60,18,86
Anti-extremist,0,0,152,130,18,49,19,30,47,5,19,21,37,46,31,745,122,223,323,818,158,194,226,617,37,139,352,313,627,621,183,15,628,656,701,227,138,79,4,98,14,13820,39,3,1705,922,0.540762,55,31,13703,8.03695,296,84,38,21,11,11,7,6,5,0,222,974,90,38,38,10,0,60,18,86
Anti-extremist,0,0,2870,3000,21,462,219,268,52,276,430,65,1150,1339,469,475,129,178,204,531,103,93,117,462,48,86,242,233,363,506,158,18,402,441,448,197,82,61,2,83,34,29357,39,3,1639,611,0.372788,38,43.1316,29349,17.9067,65,4,0,3,0,0,1,1,0,0,8,178,8,0,0,0,0,2,2,0
Anti-extremist,0,146,131,132,93,21,4,4,42,32,32,54,42,66,35,429,84,170,215,532,105,107,150,430,10,43,231,207,373,482,154,20,386,407,414,173,53,70,3,87,17,10230,40,4,1088,631,0.579963,24,45.3333,10217,9.39062,378,25,8,11,4,4,3,6,0,0,68,1194,82,14,14,0,0,40,26,16
Anti-extremist,0,0,145,134,54,34,37,5,5,18,26,63,35,46,36,650,132,218,265,818,142,153,283,611,22,66,307,306,568,656,207,23,496,649,684,263,85,155,13,147,17,13557,39,3,1637,824,0.50336,48,34.1042,13549,8.27673,215,77,40,19,12,12,10,35,3,0,240,738,158,78,78,8,0,124,110,134
Anti-extremist,0,178,1,204,164,26,93,31,4,49,20,23,42,47,48,1220,260,400,565,1700,272,303,689,1161,46,121,611,512,1076,1246,310,29,927,1040,1275,483,151,369,23,311,11,23529,40,4,3445,1052,0.30537,173,19.9133,23521,6.82758,201,82,47,20,19,19,7,27,1,0,330,582,176,162,162,12,0,120,116,126
Anti-extremist,0,143,154,264,83,30,111,30,5,23,23,42,8,62,36,409,82,163,192,482,96,103,113,422,8,37,217,207,349,432,127,23,345,382,398,177,52,50,2,56,21,9640,40,4,1032,610,0.591085,22,46.9091,9625,9.32655,361,22,8,11,3,3,3,5,0,0,72,1136,60,14,14,0,0,26,18,22
Anti-extremist,0,0,143,121,40,27,3,19,4,23,11,24,36,46,33,359,64,152,172,469,84,91,133,343,15,39,170,186,332,374,102,15,346,399,422,172,48,77,2,72,12,8454,39,3,880,564,0.640909,19,46.3158,8446,9.59773,326,28,12,17,9,9,4,6,1,0,90,926,70,26,26,2,0,38,18,30
Anti-extremist,0,0,154,11,129,55,23,31,5,26,59,25,38,47,34,653,130,240,251,741,144,184,262,566,11,64,318,275,529,593,175,21,521,589,606,262,69,135,10,118,16,12499,39,3,1502,814,0.541944,37,40.5946,12490,8.31558,220,79,54,20,11,11,10,20,2,0,268,740,188,50,50,4,0,120,70,156
Anti-extremist,0,0,142,141,18,58,3,22,29,23,6,23,38,45,32,370,64,138,162,415,86,94,115,346,7,45,176,172,326,366,110,17,324,383,405,151,46,55,2,62,13,8273,39,3,859,535,0.622817,18,47.7222,8265,9.62165,331,18,7,12,2,2,4,6,0,0,60,948,66,10,10,0,0,28,22,14
Anti-extremist,0,0,148,10,135,21,50,22,31,28,20,63,36,47,36,698,131,221,309,961,181,215,322,650,14,54,397,298,652,772,175,18,605,608,750,289,103,184,7,161,15,14207,39,3,1829,845,0.462001,68,26.8971,14199,7.76326,193,81,44,22,14,14,8,25,1,0,320,578,176,134,134,2,0,110,118,142
Anti-extremist,0,0,140,131,49,21,42,24,5,5,23,23,33,45,34,382,88,167,185,564,123,100,158,390,13,51,234,213,377,465,127,14,396,411,461,195,65,89,2,82,12,9982,39,3,1063,611,0.574788,32,33.2188,9974,9.38288,371,42,14,15,11,11,6,12,0,1,124,1160,112,46,46,0,2,56,38,36
